primary_isin,year
US44973Q1031,2020
US44973Q1031,2018
US44973Q1031,2021
US44973Q1031,2019
US75678V3024,2021
US75678V3024,2019
US75678V3024,2018
US75678V3024,2020
US69327R1014,2021
US69327R1014,2020
US69327R1014,2019
US69327R1014,2018
US6800331075,2021
US6800331075,2018
US6800331075,2020
US6800331075,2019
US17286B1044,2020
US17286B1044,2019
US17286B1044,2018
US17286B1044,2021
US78348P1012,2021
US78348P1012,2020
US78348P1012,2019
US78348P1012,2018
US73886P1003,2021
US73886P1003,2020
US73886P1003,2019
US73886P1003,2018
US63010B1017,2020
US63010B1017,2019
US63010B1017,2021
US63010B1017,2018
US55067R1041,2020
US55067R1041,2018
US55067R1041,2019
US55067R1041,2021
US44980X1090,2018
US44980X1090,2021
US44980X1090,2020
US44980X1090,2019
US1311931042,2020
US1311931042,2019
US1311931042,2021
US1311931042,2018
US7032241058,2021
US7032241058,2020
US7032241058,2018
US7032241058,2019
US82859P1049,2021
US82859P1049,2020
US82859P1049,2019
US82859P1049,2018
US4180561072,2021
US4180561072,2020
US4180561072,2019
US4180561072,2018
US46116F1003,2021
US46116F1003,2020
US46116F1003,2019
US46116F1003,2018
US67018T1051,2021
US67018T1051,2020
US67018T1051,2019
US67018T1051,2018
US5355551061,2021
US5355551061,2020
US5355551061,2019
US5355551061,2018
US7493881046,2020
US7493881046,2021
US7493881046,2019
US7493881046,2018
US65343C1027,2021
US65343C1027,2020
US65343C1027,2019
US65343C1027,2018
US9582541044,2021
US9582541044,2020
US9582541044,2019
US9582541044,2018
US9488491047,2021
US9488491047,2020
US9488491047,2019
US9488491047,2018
US2987361092,2021
US2987361092,2020
US2987361092,2019
US2987361092,2018
US587118AD26,2021
US587118AD26,2020
US587118AD26,2018
US587118AD26,2019
US4370761029,2021
US4370761029,2020
US4370761029,2019
US4370761029,2018
US0079031078,2021
US0079031078,2020
US0079031078,2019
US0079031078,2018
US4191414030,2021
US4191414030,2020
US4191414030,2019
US4191414030,2018
US8791011039,2021
US8791011039,2020
US8791011039,2019
US8791011039,2018
US60467R1005,2021
US60467R1005,2020
US60467R1005,2019
US60467R1005,2018
US03060R1014,2021
US03060R1014,2020
US03060R1014,2019
US03060R1014,2018
US1686151028,2021
US1686151028,2020
US1686151028,2019
US1686151028,2018
US03966V1070,2021
US03966V1070,2020
US03966V1070,2019
US03966V1070,2018
US14448C1045,2021
US14448C1045,2020
US14448C1045,2019
US14448C1045,2018
US68902V1070,2021
US68902V1070,2020
US68902V1070,2019
US68902V1070,2018
