primary_isin,conm,year,zscore,zscore_zone,n_incidents,esg_weight_score_w,e_weight_score_w,s_weight_score_w,g_weight_score_w,log_assets,leverage,roa,sic,industry
US69327R1014,PDC ENERGY INC,2021,0.023424547313520505,Distress,1.0,2.0,1.0,1.0,0.0,8.563880765739661,0.5006583653638536,-0.1170313401768203,1311.0,1.0
US69327R1014,PDC ENERGY INC,2020,0.7288062822874861,Distress,7.0,14.0,10.0,2.0,2.0,8.400587462462271,0.47501123928895755,0.012605087351753778,1311.0,1.0
US69327R1014,PDC ENERGY INC,2019,0.9413216031388608,Distress,5.0,13.0,6.0,4.0,3.0,8.421814909293003,0.44396404604166456,0.017195754096755275,1311.0,1.0
US69327R1014,PDC ENERGY INC,2018,1.1194889470035205,Distress,1.0,4.0,4.0,0.0,0.0,8.394096538466885,0.4326446059416398,-0.04617760935733483,1311.0,1.0
US44980X1090,IPG PHOTONICS CORP,2018,22.959181459721304,Safe,0.0,0.0,0.0,0.0,0.0,7.769908676017007,0.14571011572475293,0.2400700389269428,3674.0,3.0
US44980X1090,IPG PHOTONICS CORP,2021,23.434879065758096,Safe,0.0,0.0,0.0,0.0,0.0,7.985041780935494,0.11635691657866949,0.07886023776271417,3674.0,3.0
US44980X1090,IPG PHOTONICS CORP,2020,16.60047751923566,Safe,0.0,0.0,0.0,0.0,0.0,7.912582757211653,0.12012477128194911,0.10652877415914527,3674.0,3.0
US44980X1090,IPG PHOTONICS CORP,2019,12.647740486695202,Safe,0.0,0.0,0.0,0.0,0.0,7.853779555111115,0.1430266658898017,0.20113461127619495,3674.0,3.0
US1311931042,TOPGOLF CALLAWAY BRANDS CORP,2020,2.632647839722754,Grey,0.0,0.0,0.0,0.0,0.0,7.581489236418256,0.6086027988093125,0.0804402646606969,3949.0,3.0
US1311931042,TOPGOLF CALLAWAY BRANDS CORP,2019,5.101594799736876,Safe,0.0,0.0,0.0,0.0,0.0,6.9602945967600185,0.30261438405081376,0.12546061328997554,3949.0,3.0
